Stop / sbottom mass (GeV) 	Cross section (pb) 	± Uncertainty
1025 	7.647E-03 	8.79 %
1030 	7.384E-03 	8.84 %
1035 	7.131E-03 	8.88 %
1040 	6.887E-03 	8.93 %
1045 	6.652E-03 	8.98 %
1050 	6.426E-03 	9.02 %
1055 	6.209E-03 	9.07 %
1060 	5.999E-03 	9.12 %
1065 	5.797E-03 	9.17 %
1070 	5.602E-03 	9.22 %
1075 	5.414E-03 	9.27 %
1080 	5.233E-03 	9.32 %
1085 	5.059E-03 	9.38 %
1090 	4.891E-03 	9.43 %
1095 	4.729E-03 	9.48 %
1100 	4.572E-03 	9.53 %
1105 	4.421E-03 	9.59 %
1110 	4.276E-03 	9.65 %
1115 	4.135E-03 	9.71 %
1120 	4.000E-03 	9.77 %
1125 	3.869E-03 	9.83 %
1130 	3.743E-03 	9.89 %
1135 	3.621E-03 	9.95 %
1140 	3.503E-03 	10.01 %
1145 	3.390E-03 	10.07 %
1150 	3.281E-03 	10.13 %
1155 	3.175E-03 	10.19 %
1160 	3.073E-03 	10.25 %
1165 	2.975E-03 	10.32 %
1170 	2.879E-03 	10.38 %
1175 	2.788E-03 	10.44 %
1180 	2.699E-03 	10.50 %
1185 	2.613E-03 	10.57 %
1190 	2.531E-03 	10.63 %
1195 	2.451E-03 	10.69 %
1200 	2.373E-03 	10.76 %
1205 	2.299E-03 	10.82 %
1210 	2.227E-03 	10.87 %
1215 	2.157E-03 	10.93 %
1220 	2.090E-03 	10.99 %
1225 	2.025E-03 	11.05 %
1230 	1.962E-03 	11.11 %
1235 	1.901E-03 	11.17 %
1240 	1.842E-03 	11.23 %
1245 	1.785E-03 	11.29 %
1250 	1.731E-03 	11.35 %
1255 	1.677E-03 	11.41 %
1260 	1.626E-03 	11.48 %
1265 	1.576E-03 	11.54 %
1270 	1.528E-03 	11.60 %
1275 	1.482E-03 	11.67 %
1280 	1.437E-03 	11.73 %
1285 	1.393E-03 	11.80 %
1290 	1.351E-03 	11.86 %
1295 	1.310E-03 	11.93 %
1300 	1.271E-03 	12.00 %
1305 	1.232E-03 	12.07 %
1310 	1.195E-03 	12.14 %
1315 	1.160E-03 	12.21 %
1320 	1.125E-03 	12.29 %
1325 	1.091E-03 	12.36 %
1330 	1.059E-03 	12.44 %
1335 	1.027E-03 	12.52 %
1340 	9.969E-04 	12.59 %
1345 	9.673E-04 	12.67 %
1350 	9.387E-04 	12.75 %
1355 	9.111E-04 	12.83 %
1360 	8.842E-04 	12.91 %
1365 	8.582E-04 	13.00 %
1370 	8.331E-04 	13.08 %
1375 	8.087E-04 	13.16 %
1380 	7.850E-04 	13.25 %
1385 	7.621E-04 	13.33 %
1390 	7.399E-04 	13.42 %
1395 	7.184E-04 	13.50 %
1400 	6.976E-04 	13.59 %
1405 	6.774E-04 	13.68 %
1410 	6.578E-04 	13.77 %
1415 	6.388E-04 	13.86 %
1420 	6.204E-04 	13.95 %
1425 	6.025E-04 	14.04 %
1430 	5.852E-04 	14.14 %
1435 	5.684E-04 	14.23 %
1440 	5.522E-04 	14.32 %
1445 	5.364E-04 	14.42 %
1450 	5.211E-04 	14.51 %
1455 	5.063E-04 	14.61 %
1460 	4.919E-04 	14.71 %
1465 	4.779E-04 	14.81 %
1470 	4.644E-04 	14.90 %
1475 	4.512E-04 	15.00 %
1480 	4.385E-04 	15.10 %
1485 	4.261E-04 	15.20 %
1490 	4.141E-04 	15.31 %
1495 	4.025E-04 	15.41 %
1500 	3.912E-04 	15.51 %
1505 	3.803E-04 	15.61 %
1510 	3.696E-04 	15.72 %
1515 	3.593E-04 	15.82 %
1520 	3.493E-04 	15.92 %
1525 	3.396E-04 	16.03 %
1530 	3.302E-04 	16.13 %
1535 	3.210E-04 	16.24 %
1540 	3.121E-04 	16.35 %
1545 	3.035E-04 	16.45 %
1550 	2.951E-04 	16.56 %
1555 	2.870E-04 	16.67 %
1560 	2.791E-04 	16.78 %
1565 	2.714E-04 	16.89 %
1570 	2.640E-04 	17.00 %
1575 	2.568E-04 	17.12 %
1580 	2.498E-04 	17.23 %
1585 	2.429E-04 	17.35 %
1590 	2.363E-04 	17.46 %
1595 	2.299E-04 	17.58 %
1600 	2.236E-04 	17.70 %
1605 	2.176E-04 	17.82 %
1610 	2.117E-04 	17.94 %
1615 	2.059E-04 	18.06 %
1620 	2.004E-04 	18.18 %
1625 	1.950E-04 	18.30 %
1630 	1.897E-04 	18.43 %
1635 	1.846E-04 	18.56 %
1640 	1.796E-04 	18.68 %
1645 	1.748E-04 	18.81 %
1650 	1.701E-04 	18.94 %
1655 	1.656E-04 	19.07 %
1660 	1.612E-04 	19.20 %
1665 	1.569E-04 	19.33 %
1670 	1.527E-04 	19.46 %
1675 	1.486E-04 	19.60 %
1680 	1.447E-04 	19.73 %
1685 	1.408E-04 	19.87 %
1690 	1.371E-04 	20.01 %
1695 	1.335E-04 	20.15 %
1700 	1.299E-04 	20.29 %
1705 	1.265E-04 	20.43 %
1710 	1.232E-04 	20.57 %
1715 	1.199E-04 	20.71 %
1720 	1.168E-04 	20.85 %
1725 	1.137E-04 	20.99 %
1730 	1.107E-04 	21.14 %
1735 	1.078E-04 	21.28 %
1740 	1.050E-04 	21.43 %
1745 	1.022E-04 	21.58 %
1750 	9.956E-05 	21.73 %
1755 	9.697E-05 	21.88 %
1760 	9.444E-05 	22.04 %
1765 	9.198E-05 	22.19 %
1770 	8.959E-05 	22.35 %
1775 	8.727E-05 	22.51 %
1780 	8.500E-05 	22.66 %
1785 	8.280E-05 	22.83 %
1790 	8.066E-05 	22.99 %
1795 	7.857E-05 	23.15 %
1800 	7.654E-05 	23.32 %
1805 	7.457E-05 	23.49 %
1810 	7.265E-05 	23.66 %
1815 	7.078E-05 	23.84 %
1820 	6.896E-05 	24.02 %
1825 	6.718E-05 	24.20 %
1830 	6.546E-05 	24.38 %
1835 	6.378E-05 	24.56 %
1840 	6.215E-05 	24.74 %
1845 	6.056E-05 	24.93 %
1850 	5.901E-05 	25.11 %
1855 	5.751E-05 	25.30 %
1860 	5.604E-05 	25.49 %
1865 	5.461E-05 	25.68 %
1870 	5.322E-05 	25.87 %
1875 	5.187E-05 	26.06 %
1880 	5.055E-05 	26.25 %
1885 	4.927E-05 	26.45 %
1890 	4.803E-05 	26.64 %
1895 	4.681E-05 	26.84 %
1900 	4.563E-05 	27.04 %
