################################################################################
# Figure 5 (FIG. 4.2) [Omega_LSP h^2 = 0.0045]                                 #
################################################################################
# Higgsino-like LSP mass mN1 as a function of the stop mass mst1 that          #
# reproduces Omega_LSP h^2 = 0.0045, for tan(beta) = 1.6 and mu < 0.           #
# The gaugino mass parameters, and all other scalar masses (except Mh), are    #
# set to 10 TeV.                                                               #
################################################################################
# Column 1 = Stop mass mst1 [GeV]                                              #
# Column 2 = Higgsino-like LSP mass mN1 [GeV]                                  #
################################################################################
2.807579999999999814e+02	2.741960000000000264e+02
2.770679999999999836e+02	2.316879999999999882e+02
3.107570000000000050e+02	2.089650000000000034e+02
3.421709999999999923e+02	2.007160000000000082e+02
3.712130000000000223e+02	1.972620000000000005e+02
3.982200000000000273e+02	1.956910000000000025e+02
4.236379999999999768e+02	1.949840000000000089e+02
4.476129999999999995e+02	1.947179999999999893e+02
4.704470000000000027e+02	1.946879999999999882e+02
4.922250000000000227e+02	1.947909999999999968e+02
5.131349999999999909e+02	1.949679999999999893e+02
5.332259999999999991e+02	1.951870000000000118e+02
5.526250000000000000e+02	1.954259999999999877e+02
5.713719999999999573e+02	1.956759999999999877e+02
5.895760000000000218e+02	1.959269999999999925e+02
6.072369999999999663e+02	1.961759999999999877e+02
6.244199999999999591e+02	1.964190000000000111e+02
6.411739999999999782e+02	1.966560000000000059e+02
6.575170000000000528e+02	1.968839999999999861e+02
6.734850000000000136e+02	1.970970000000000084e+02
6.890990000000000464e+02	1.973019999999999925e+02
7.043809999999999718e+02	1.974970000000000141e+02
7.193750000000000000e+02	1.976850000000000023e+02
7.340589999999999691e+02	1.978629999999999995e+02
7.484919999999999618e+02	1.980349999999999966e+02
7.626699999999999591e+02	1.981990000000000123e+02
7.766050000000000182e+02	1.983559999999999945e+02
7.903089999999999691e+02	1.985070000000000050e+02
8.038010000000000446e+02	1.986500000000000057e+02
8.170779999999999745e+02	1.987889999999999873e+02
8.301730000000000018e+02	1.989209999999999923e+02
8.430739999999999554e+02	1.990469999999999970e+02
8.558029999999999973e+02	1.991690000000000111e+02
8.683569999999999709e+02	1.992860000000000014e+02
8.807590000000000146e+02	1.993979999999999961e+02
8.929990000000000236e+02	1.995060000000000002e+02
9.050929999999999609e+02	1.996100000000000136e+02
9.170309999999999491e+02	1.997100000000000080e+02
9.288460000000000036e+02	1.998069999999999879e+02
9.405289999999999964e+02	1.998990000000000009e+02
9.520800000000000409e+02	1.999890000000000043e+02
9.635090000000000146e+02	2.000749999999999886e+02
9.748210000000000264e+02	2.001589999999999918e+02
9.860209999999999582e+02	2.002390000000000043e+02
9.971090000000000373e+02	2.003160000000000025e+02
1.008090000000000032e+03	2.003919999999999959e+02
1.018970000000000027e+03	2.004639999999999986e+02
1.029750000000000000e+03	2.005349999999999966e+02
1.040420000000000073e+03	2.006030000000000086e+02
1.051019999999999982e+03	2.006690000000000111e+02
1.061509999999999991e+03	2.007340000000000089e+02
1.071920000000000073e+03	2.007959999999999923e+02
1.082240000000000009e+03	2.008559999999999945e+02
1.092490000000000009e+03	2.009139999999999873e+02
1.102650000000000091e+03	2.009710000000000036e+02
1.112740000000000009e+03	2.010260000000000105e+02
1.122740000000000009e+03	2.010790000000000077e+02
1.132680000000000064e+03	2.011299999999999955e+02
1.142539999999999964e+03	2.011810000000000116e+02
1.152329999999999927e+03	2.012309999999999945e+02
1.162049999999999955e+03	2.012789999999999964e+02
1.171720000000000027e+03	2.013249999999999886e+02
1.181299999999999955e+03	2.013700000000000045e+02
1.190829999999999927e+03	2.014139999999999873e+02
1.200309999999999945e+03	2.014569999999999936e+02
1.209710000000000036e+03	2.015000000000000000e+02
1.219059999999999945e+03	2.015399999999999920e+02
1.228349999999999909e+03	2.015800000000000125e+02
1.237579999999999927e+03	2.016189999999999998e+02
1.246759999999999991e+03	2.016570000000000107e+02
1.255890000000000100e+03	2.016930000000000121e+02
1.264970000000000027e+03	2.017299999999999898e+02
1.273990000000000009e+03	2.017649999999999864e+02
1.282970000000000027e+03	2.017990000000000066e+02
1.291890000000000100e+03	2.018329999999999984e+02
1.300769999999999982e+03	2.018669999999999902e+02
1.309589999999999918e+03	2.018990000000000009e+02
1.318369999999999891e+03	2.019300000000000068e+02
1.327109999999999900e+03	2.019610000000000127e+02
1.335819999999999936e+03	2.019910000000000139e+02
1.344460000000000036e+03	2.020200000000000102e+02
1.353069999999999936e+03	2.020490000000000066e+02
1.361640000000000100e+03	2.020769999999999982e+02
1.370170000000000073e+03	2.021049999999999898e+02
1.378660000000000082e+03	2.021320000000000050e+02
1.387099999999999909e+03	2.021589999999999918e+02
1.395509999999999991e+03	2.021850000000000023e+02
1.403890000000000100e+03	2.022100000000000080e+02
1.412230000000000018e+03	2.022350000000000136e+02
1.420529999999999973e+03	2.022580000000000098e+02
1.428789999999999964e+03	2.022810000000000059e+02
1.437019999999999982e+03	2.023040000000000020e+02
1.445210000000000036e+03	2.023269999999999982e+02
1.453369999999999891e+03	2.023489999999999895e+02
1.461500000000000000e+03	2.023700000000000045e+02
1.469589999999999918e+03	2.023919999999999959e+02
1.477660000000000082e+03	2.024130000000000109e+02
1.485690000000000055e+03	2.024339999999999975e+02
1.493690000000000055e+03	2.024530000000000030e+02
1.501660000000000082e+03	2.024730000000000132e+02
1.509599999999999909e+03	2.024919999999999902e+02
1.517509999999999991e+03	2.025109999999999957e+02
1.525390000000000100e+03	2.025300000000000011e+02
1.533250000000000000e+03	2.025480000000000018e+02
1.541069999999999936e+03	2.025670000000000073e+02
1.548869999999999891e+03	2.025840000000000032e+02
1.556640000000000100e+03	2.026020000000000039e+02
1.564380000000000109e+03	2.026189999999999998e+02
1.572099999999999909e+03	2.026359999999999957e+02
1.579789999999999964e+03	2.026529999999999916e+02
1.587460000000000036e+03	2.026690000000000111e+02
1.595109999999999900e+03	2.026850000000000023e+02
1.602720000000000027e+03	2.027009999999999934e+02
1.610319999999999936e+03	2.027170000000000130e+02
1.617880000000000109e+03	2.027319999999999993e+02
1.625430000000000064e+03	2.027460000000000093e+02
1.632950000000000045e+03	2.027620000000000005e+02
1.640450000000000045e+03	2.027760000000000105e+02
1.647930000000000064e+03	2.027909999999999968e+02
1.655380000000000109e+03	2.028050000000000068e+02
1.662819999999999936e+03	2.028189999999999884e+02
1.670230000000000018e+03	2.028329999999999984e+02
1.677619999999999891e+03	2.028460000000000036e+02
1.684990000000000009e+03	2.028600000000000136e+02
1.692329999999999927e+03	2.028729999999999905e+02
1.699660000000000082e+03	2.028859999999999957e+02
1.706970000000000027e+03	2.028990000000000009e+02
1.714250000000000000e+03	2.029110000000000014e+02
1.721519999999999982e+03	2.029230000000000018e+02
1.728769999999999982e+03	2.029350000000000023e+02
1.736000000000000000e+03	2.029480000000000075e+02
1.743210000000000036e+03	2.029600000000000080e+02
1.750400000000000091e+03	2.029710000000000036e+02
1.757579999999999927e+03	2.029819999999999993e+02
1.764730000000000018e+03	2.029950000000000045e+02
1.771869999999999891e+03	2.030060000000000002e+02
1.778990000000000009e+03	2.030159999999999911e+02
1.786089999999999918e+03	2.030269999999999868e+02
1.793180000000000064e+03	2.030389999999999873e+02
1.800250000000000000e+03	2.030490000000000066e+02
1.807299999999999955e+03	2.030600000000000023e+02
1.814339999999999918e+03	2.030699999999999932e+02
1.821349999999999909e+03	2.030800000000000125e+02
1.828359999999999900e+03	2.030900000000000034e+02
1.835349999999999909e+03	2.031009999999999991e+02
1.842319999999999936e+03	2.031100000000000136e+02
1.849269999999999982e+03	2.031200000000000045e+02
1.856210000000000036e+03	2.031289999999999907e+02
1.863140000000000100e+03	2.031390000000000100e+02
1.870049999999999955e+03	2.031479999999999961e+02
1.876940000000000055e+03	2.031570000000000107e+02
1.883829999999999927e+03	2.031670000000000016e+02
1.890690000000000055e+03	2.031759999999999877e+02
1.897539999999999964e+03	2.031850000000000023e+02
1.904380000000000109e+03	2.031939999999999884e+02
1.911210000000000036e+03	2.032019999999999982e+02
1.918019999999999982e+03	2.032110000000000127e+02
1.924809999999999945e+03	2.032189999999999941e+02
1.931599999999999909e+03	2.032280000000000086e+02
1.938369999999999891e+03	2.032359999999999900e+02
1.945119999999999891e+03	2.032439999999999998e+02
1.951869999999999891e+03	2.032520000000000095e+02
1.958599999999999909e+03	2.032599999999999909e+02
1.965309999999999945e+03	2.032680000000000007e+02
1.972019999999999982e+03	2.032760000000000105e+02
1.978720000000000027e+03	2.032829999999999870e+02
1.985400000000000091e+03	2.032909999999999968e+02
1.992059999999999945e+03	2.032990000000000066e+02
1.998720000000000027e+03	2.033060000000000116e+02
2.005369999999999891e+03	2.033139999999999930e+02
2.012000000000000000e+03	2.033209999999999980e+02
2.018619999999999891e+03	2.033280000000000030e+02
2.025230000000000018e+03	2.033350000000000080e+02
2.031829999999999927e+03	2.033429999999999893e+02
2.038410000000000082e+03	2.033499999999999943e+02
2.044990000000000009e+03	2.033569999999999993e+02
2.051550000000000182e+03	2.033640000000000043e+02
