regime,category,ut_low_gev,ut_high_gev,last_bin_includes_overflow,Q,Q_stat,Sgamma,Sgamma_stat,status,data_minus_other,Q_times_gamma
highdm,Nb1,250.0,300.0,False,1.6193935977556815,0.025700768940807518,1.0310931105222008,0.030602322621630138,complete,3040.7246689057724,2949.030148563195
highdm,Nb1,300.0,350.0,False,1.6193935977556815,0.025700768940807518,0.9962289930512396,0.04295183438148247,complete,1909.4267328138098,1916.6544500633713
highdm,Nb1,350.0,400.0,False,1.6193935977556815,0.025700768940807518,0.9824839917384968,0.04236363732144735,complete,1120.725812064506,1140.7064354111171
highdm,Nb1,400.0,500.0,False,1.6193935977556815,0.025700768940807518,1.0006808099665585,0.0380675086996861,complete,1115.8581141986715,1115.0989437240853
highdm,Nb1,500.0,800.0,False,1.6193935977556815,0.025700768940807518,0.9348586426657295,0.04123145187312789,complete,721.5014345632339,771.7759687238789
highdm,Nb1,800.0,1500.0,True,1.6193935977556815,0.025700768940807518,0.8761646689119345,0.09131634105137461,complete,105.92211432394545,120.89293038429052
highdm,Nb2,250.0,300.0,False,1.8145900963526855,0.048324352225391914,1.0209119928331158,0.051688163806220905,complete,808.6816071675194,792.1168649643938
highdm,Nb2,300.0,350.0,False,1.8145900963526855,0.048324352225391914,1.0376287205985317,0.06526515815411883,complete,519.1500865138316,500.32355138972264
highdm,Nb2,350.0,400.0,False,1.8145900963526855,0.048324352225391914,1.0264371955319374,0.07963347592298177,complete,312.7068234394678,304.6526614591472
highdm,Nb2,400.0,500.0,False,1.8145900963526855,0.048324352225391914,0.9299131066542755,0.06844180791554512,complete,285.4115981845958,306.9228685371208
highdm,Nb2,500.0,800.0,False,1.8145900963526855,0.048324352225391914,0.9431703014935996,0.07972857861879,complete,200.03279424612316,212.0855522373343
highdm,Nb2,800.0,1500.0,True,1.8145900963526855,0.048324352225391914,0.6876208524984936,0.159755652517843,complete,21.751337389755253,31.632748353574552
highdm,Nb3plus,250.0,300.0,False,2.840986505068735,0.20210571425797125,0.8085966315054615,0.14465027905029934,complete,97.63182564508945,120.74231061699645
highdm,Nb3plus,300.0,350.0,False,2.840986505068735,0.20210571425797125,1.4239957685595115,0.18691925011262228,complete,112.22223081475073,78.8079805379427
highdm,Nb3plus,350.0,400.0,False,2.840986505068735,0.20210571425797125,0.9349184902126197,0.16961272103169944,complete,45.72635366912376,48.90945483250058
highdm,Nb3plus,400.0,500.0,False,2.840986505068735,0.20210571425797125,1.0867752336506382,0.19345286844102627,complete,49.9510518894466,45.962633618042304
highdm,Nb3plus,500.0,800.0,False,2.840986505068735,0.20210571425797125,0.7399945769189208,0.17302831563504778,complete,25.05611045912066,33.85985687009432
highdm,Nb3plus,800.0,1500.0,True,2.840986505068735,0.20210571425797125,0.6300538574478747,0.33387009643584514,complete,3.926208909018386,6.231544910973277
lowdm,Nb1_PISR300to500_PTb20to40,300.0,400.0,False,1.7651482888139203,0.021303434448908982,0.964634589840175,0.02595869803948837,complete,2688.121068080681,2786.6728981033752
lowdm,Nb1_PISR300to500_PTb20to40,400.0,500.0,False,1.7651482888139203,0.021303434448908982,0.958383329415167,0.03730018520246457,complete,929.5451582949229,969.9095651654939
lowdm,Nb1_PISR300to500_PTb20to40,500.0,600.0,False,1.7651482888139203,0.021303434448908982,0.8637506812246449,0.08931396689167796,complete,126.68433362890084,146.66770907698154
lowdm,Nb1_PISR300to500_PTb20to40,600.0,700.0,True,1.7651482888139203,0.021303434448908982,0.8229195056863637,0.2589773423019072,complete,10.999367408417962,13.366273775761137
lowdm,Nb1_PISR300to500_PTb40to70,300.0,400.0,False,1.7651482888139203,0.021303434448908982,1.0363000382600653,0.02582149859375865,complete,4251.356334998487,4102.437689895738
lowdm,Nb1_PISR300to500_PTb40to70,400.0,500.0,False,1.7651482888139203,0.021303434448908982,1.1317028733470091,0.034140576106867784,complete,1613.1136367661136,1425.3861810877381
lowdm,Nb1_PISR300to500_PTb40to70,500.0,600.0,False,1.7651482888139203,0.021303434448908982,1.053045721477344,0.07655528218258235,complete,248.6743497617912,236.14772339886608
lowdm,Nb1_PISR300to500_PTb40to70,600.0,700.0,True,1.7651482888139203,0.021303434448908982,0.6919753717329368,0.18061192155846947,complete,16.449294861982935,23.771503342363793
lowdm,Nb1_PISR500plus_PTb20to40,450.0,550.0,False,1.7651482888139203,0.021303434448908982,0.886982943846348,0.08072881604158319,complete,192.03044714060402,216.4984664844575
lowdm,Nb1_PISR500plus_PTb20to40,550.0,650.0,False,1.7651482888139203,0.021303434448908982,0.9301629013217426,0.07981939340950221,complete,164.51899188002372,176.8711605743957
lowdm,Nb1_PISR500plus_PTb20to40,650.0,750.0,False,1.7651482888139203,0.021303434448908982,0.7589537842051323,0.09945405483831764,complete,65.18154902682936,85.88342318510912
lowdm,Nb1_PISR500plus_PTb20to40,750.0,850.0,True,1.7651482888139203,0.021303434448908982,0.7947140654983201,0.11023667136392767,complete,58.0306098839287,73.02074092213404
lowdm,Nb1_PISR500plus_PTb40to70,450.0,550.0,False,1.7651482888139203,0.021303434448908982,0.858730217325137,0.05898468360904104,complete,283.7610611486136,330.4426179766939
lowdm,Nb1_PISR500plus_PTb40to70,550.0,650.0,False,1.7651482888139203,0.021303434448908982,0.8869612458494106,0.062054358728384135,complete,244.46084712867065,275.6161537751961
lowdm,Nb1_PISR500plus_PTb40to70,650.0,750.0,False,1.7651482888139203,0.021303434448908982,0.9153661170687935,0.09133421672149004,complete,117.0134572051417,127.83241046745853
lowdm,Nb1_PISR500plus_PTb40to70,750.0,850.0,True,1.7651482888139203,0.021303434448908982,0.8336303833133523,0.0897879393364773,complete,97.28795133736598,116.70394132071424
lowdm,Nb2plus_PISR300to500_PTb40to80_Nj2plus,300.0,400.0,False,1.699919558817682,0.05559436658209974,0.9846018842073978,0.07435091892791394,complete,635.7448018164646,645.6871675887942
lowdm,Nb2plus_PISR300to500_PTb40to80_Nj2plus,400.0,500.0,False,1.699919558817682,0.05559436658209974,0.9928824265879306,0.08214771211972915,complete,236.6026559623221,238.29876491561447
lowdm,Nb2plus_PISR300to500_PTb40to80_Nj2plus,500.0,600.0,True,1.699919558817682,0.05559436658209974,0.9987161597802887,0.16038402838157823,complete,49.16591894590406,49.229121271773806
lowdm,Nb2plus_PISR300to500_PTb80to140_Nj2plus,300.0,400.0,False,1.699919558817682,0.05559436658209974,1.016906578290169,0.06905047337047986,complete,415.1480408101284,408.2459978852335
lowdm,Nb2plus_PISR300to500_PTb80to140_Nj2plus,400.0,500.0,False,1.699919558817682,0.05559436658209974,1.1524722286559983,0.10357474966133355,complete,183.0008860478347,158.7898445598542
lowdm,Nb2plus_PISR300to500_PTb80to140_Nj2plus,500.0,600.0,True,1.699919558817682,0.05559436658209974,1.2380148240415436,0.19554942717123944,complete,51.66866011407627,41.73509000918267
lowdm,Nb2plus_PISR300to500_PTb140plus_Nj7plus,300.0,400.0,False,1.699919558817682,0.05559436658209974,1.2728423176573966,0.6798054987339182,complete,5.658236284814272,4.445355254394729
lowdm,Nb2plus_PISR300to500_PTb140plus_Nj7plus,400.0,500.0,False,1.699919558817682,0.05559436658209974,2.480137031803202,2.124602719461621,complete,2.17532142290505,0.8770972712437048
lowdm,Nb2plus_PISR300to500_PTb140plus_Nj7plus,500.0,600.0,True,1.699919558817682,0.05559436658209974,4.739080244101683,3.330027621958835,complete,2.919179648476401,0.6159802109511961
lowdm,Nb2plus_PISR500plus_PTb40to80_Nj2plus,450.0,550.0,False,1.699919558817682,0.05559436658209974,0.9157407236620728,0.14426008240797547,complete,52.882944227298104,57.74881782675092
lowdm,Nb2plus_PISR500plus_PTb40to80_Nj2plus,550.0,650.0,False,1.699919558817682,0.05559436658209974,0.8168806842905265,0.1414092829882527,complete,39.128360932548055,47.89972597593202
lowdm,Nb2plus_PISR500plus_PTb40to80_Nj2plus,650.0,750.0,True,1.699919558817682,0.05559436658209974,0.8366945842716659,0.15152149344366067,complete,35.859527573518946,42.85856302599867
