regime,category,ut_low_gev,ut_high_gev,last_bin_includes_overflow,Q,Q_stat,Sgamma,Sgamma_stat,status,data_minus_other,Q_times_gamma
highdm,Nb1,250.0,300.0,False,1.6196547108306936,0.025695022771234723,1.0308869674797472,0.030593795937172027,complete,3040.606939133885,2949.50565391993
highdm,Nb1,300.0,350.0,False,1.6196547108306936,0.025695022771234723,0.9961157231510336,0.04294296632175974,complete,1909.5174769352598,1916.9634938547536
highdm,Nb1,350.0,400.0,False,1.6196547108306936,0.025695022771234723,0.9826675173728238,0.04235663982812386,complete,1121.1159019419006,1140.8903643617127
highdm,Nb1,400.0,500.0,False,1.6196547108306936,0.025695022771234723,1.0004260577168183,0.03805842475135353,complete,1115.7539168054363,1115.2787436902838
highdm,Nb1,500.0,1500.0,True,1.6196547108306936,0.025695022771234723,0.9281518608829107,0.03832688393871582,complete,831.3663010948869,895.722280084688
highdm,Nb2plus,250.0,300.0,False,1.9069606153892502,0.04755749197622691,0.9921451638530497,0.048711771527665,complete,906.309862510531,913.4851385968838
highdm,Nb2plus,300.0,350.0,False,1.9069606153892502,0.04755749197622691,1.0909532735574126,0.061580629447904454,complete,631.3244262062956,578.6906199453018
highdm,Nb2plus,350.0,400.0,False,1.9069606153892502,0.04755749197622691,1.0159991302110916,0.07261746884129626,complete,358.6379282685084,352.9903890705055
highdm,Nb2plus,400.0,500.0,False,1.9069606153892502,0.04755749197622691,0.9490968643474214,0.06447257024232687,complete,335.4090848658552,353.3981593085078
highdm,Nb2plus,500.0,1500.0,True,1.9069606153892502,0.04755749197622691,0.8833450201644986,0.06651354951317162,complete,250.7713995190993,283.88839444909087
lowdm,Nb1,250.0,300.0,False,1.6974634106114967,0.008016276307086925,1.0297926706293745,0.01003567288484365,complete,32490.290632282005,31550.32227256486
lowdm,Nb1,300.0,350.0,False,1.6974634106114967,0.008016276307086925,1.0239798485918015,0.010601616439681447,complete,23985.087100790686,23423.397573473227
lowdm,Nb1,350.0,400.0,False,1.6974634106114967,0.008016276307086925,0.9918823519940604,0.012409150897147319,complete,13307.17426902182,13416.081294590374
lowdm,Nb1,400.0,500.0,False,1.6974634106114967,0.008016276307086925,0.9667831375695664,0.011361123043148276,complete,11431.38311330523,11824.14408058774
lowdm,Nb1,500.0,1500.0,True,1.6974634106114967,0.008016276307086925,0.869860306765504,0.012276041074297446,complete,6683.983145323292,7683.973039506852
lowdm,Nb2plus,250.0,300.0,False,1.641229946477673,0.024022350762611746,1.0323053674893863,0.030375127473716856,complete,4046.494858556998,3919.862267497706
lowdm,Nb2plus,300.0,350.0,False,1.641229946477673,0.024022350762611746,0.9748084725921843,0.03600617874522521,complete,2714.370909661283,2784.517149756917
lowdm,Nb2plus,350.0,400.0,False,1.641229946477673,0.024022350762611746,1.0351307863387602,0.03318216643026323,complete,1673.8524425374744,1617.044401179354
lowdm,Nb2plus,400.0,500.0,False,1.641229946477673,0.024022350762611746,1.0169044278555028,0.034169821716530206,complete,1418.2538586118121,1394.6776312132836
lowdm,Nb2plus,500.0,1500.0,True,1.641229946477673,0.024022350762611746,0.8492455702193998,0.035733282998334046,complete,771.0338439793834,907.9044636996921
