regime,category,ut_low_gev,ut_high_gev,last_bin_includes_overflow,Q,Q_stat,Sgamma,Sgamma_stat,status,data_minus_other,Q_times_gamma
highdm,Nb1,250.0,300.0,False,1.8432393843892372,0.025432161086069716,0.9940983961036945,0.02691808953260949,complete,3538.409197677522,3559.4154578119146
highdm,Nb1,300.0,350.0,False,1.8432393843892372,0.025432161086069716,1.0491056009841833,0.03555857534984681,complete,2408.920470591208,2296.1658657921184
highdm,Nb1,350.0,400.0,False,1.8432393843892372,0.025432161086069716,1.0082668321182435,0.0381452375390803,complete,1376.8160285455072,1365.527442426116
highdm,Nb1,400.0,500.0,False,1.8432393843892372,0.025432161086069716,0.9655061291609237,0.03344484261547462,complete,1278.0616883502257,1323.7219834750604
highdm,Nb1,500.0,800.0,False,1.8432393843892372,0.025432161086069716,0.9783183847790341,0.038242451142639244,complete,886.6475993280562,906.2975950598302
highdm,Nb1,800.0,1500.0,True,1.8432393843892372,0.025432161086069716,0.735914623466923,0.07627564019102326,complete,105.13109957615184,142.85773950363298
highdm,Nb2,250.0,300.0,False,2.141779393071366,0.05128283995893696,1.0610389887606748,0.04920776566536775,complete,1080.83602656805,1018.6581624399107
highdm,Nb2,300.0,350.0,False,2.141779393071366,0.05128283995893696,0.9769525782297721,0.05460265056050643,complete,624.635357223648,639.3712152901841
highdm,Nb2,350.0,400.0,False,2.141779393071366,0.05128283995893696,0.9686164918069222,0.06668409412837781,complete,379.0762756621276,391.35847765194796
highdm,Nb2,400.0,500.0,False,2.141779393071366,0.05128283995893696,0.9938621830545828,0.06376829737346955,complete,381.8582652686732,384.2165159107393
highdm,Nb2,500.0,800.0,False,2.141779393071366,0.05128283995893696,0.8945421626513272,0.06906492592356699,complete,233.15242868728242,260.6388367388336
highdm,Nb2,800.0,1500.0,True,2.141779393071366,0.05128283995893696,0.8622654590954878,0.1611504392114565,complete,33.27463277959264,38.58977815775848
highdm,Nb3plus,250.0,300.0,False,3.2505137784960563,0.19644481982943368,0.9664797707137663,0.1269159515022048,complete,151.74024611914732,157.00302346430266
highdm,Nb3plus,300.0,350.0,False,3.2505137784960563,0.19644481982943368,1.0577183972112676,0.13518625127992712,complete,102.86844236305689,97.25503747904466
