regime,category,ut_low_gev,ut_high_gev,last_bin_includes_overflow,Q,Q_stat,Sgamma,Sgamma_stat,status,data_minus_other,Q_times_gamma
highdm,Nb1,250.0,300.0,False,1.9479038544071738,0.026199056949995185,0.995441993009711,0.026196550672051726,complete,3566.2527137208704,3582.5821481956305
highdm,Nb1,300.0,350.0,False,1.9479038544071738,0.026199056949995185,1.0496511636583012,0.03454800158832024,complete,2426.3069266712955,2311.536451991344
highdm,Nb1,350.0,400.0,False,1.9479038544071738,0.026199056949995185,1.0081860480865255,0.03715338147652523,complete,1386.4323265578105,1375.1750772480664
highdm,Nb1,400.0,500.0,False,1.9479038544071738,0.026199056949995185,0.9641733062967045,0.032990986292648065,complete,1285.1580975609866,1332.911924825168
highdm,Nb1,500.0,1500.0,True,1.9479038544071738,0.026199056949995185,0.9414048981148171,0.03467688417872276,complete,995.2166358242083,1057.1610980749626
highdm,Nb2plus,250.0,300.0,False,2.373885735044513,0.05181869812793305,1.0477003722489455,0.04479230586463455,complete,1242.5404533912713,1185.9692773842305
highdm,Nb2plus,300.0,350.0,False,2.373885735044513,0.05181869812793305,0.9884071921081872,0.04976539295006825,complete,734.7368340913279,743.3543988325274
highdm,Nb2plus,350.0,400.0,False,2.373885735044513,0.05181869812793305,0.9941039385520688,0.060711908027817785,complete,454.1854331727154,456.8792211348092
highdm,Nb2plus,400.0,500.0,False,2.373885735044513,0.05181869812793305,0.9962913092303022,0.05853592328998396,complete,446.11073277101826,447.77137834883547
highdm,Nb2plus,500.0,1500.0,True,2.373885735044513,0.05181869812793305,0.8760309324376319,0.058470266933645196,complete,308.094826135121,351.6940038610515
lowdm,Nb1,250.0,300.0,False,1.8850501790735563,0.00802723370793166,1.0210300973320707,0.008998869400574289,complete,36281.609045384466,35534.318861106556
lowdm,Nb1,300.0,350.0,False,1.8850501790735563,0.00802723370793166,1.030801689801929,0.00939942817377022,complete,26849.91946236213,26047.609087176996
lowdm,Nb1,350.0,400.0,False,1.8850501790735563,0.00802723370793166,0.9929175922622897,0.011096324966610848,complete,14810.650637829633,14916.293913258858
lowdm,Nb1,400.0,500.0,False,1.8850501790735563,0.00802723370793166,0.9600750288746369,0.010647077122969964,complete,12510.460777792272,13030.711560591835
lowdm,Nb1,500.0,1500.0,True,1.8850501790735563,0.00802723370793166,0.8888737909175795,0.011750729887110666,complete,7388.522529715148,8312.229030949396
lowdm,Nb2plus,250.0,300.0,False,1.9228410614683749,0.02400501475442589,1.030012407346824,0.02510000953667488,complete,4934.572173514216,4790.789060711436
lowdm,Nb2plus,300.0,350.0,False,1.9228410614683749,0.02400501475442589,0.9851336221475495,0.030881622019217816,complete,3295.4669523737157,3345.1979287741065
lowdm,Nb2plus,350.0,400.0,False,1.9228410614683749,0.02400501475442589,1.0031241797811672,0.02918999997438305,complete,1935.6009697523502,1929.5726379306338
lowdm,Nb2plus,400.0,500.0,False,1.9228410614683749,0.02400501475442589,1.0071891979505863,0.03035255867015407,complete,1669.2417257160218,1657.3268747446562
lowdm,Nb2plus,500.0,1500.0,True,1.9228410614683749,0.02400501475442589,0.89306607468434,0.033468606639588686,complete,935.336655805636,1047.3319750011071
