mass_key,mStop,mLSP,region,unweighted,raw_weighted,raw_sumw2,normalized_weighted,normalized_sumw2,sumw_mass_point,xsec_pb,xsec_uncertainty_relative,normalization_factor,normalization_status
mStop1000_mLSP300,1000,300,DY2M,0,0.0,0.0,0.0,0.0,109753.0,0.009123,0.0857,0.009128569241843047,normalized_with_signal_xsec_txt_and_Runs_genEventSumw_T2tt
mStop1000_mLSP300,1000,300,SR,30310,30310.0,30310.0,276.68693372026274,2.5257558327786565,109753.0,0.009123,0.0857,0.009128569241843047,normalized_with_signal_xsec_txt_and_Runs_genEventSumw_T2tt
mStop1000_mLSP400,1000,400,preselection,60586,60586.0,60586.0,473.34527387540254,3.698143932594656,128237.0,0.009123,0.0857,0.007812783050133736,normalized_with_signal_xsec_txt_and_Runs_genEventSumw_T2tt
mStop1000_mLSP400,1000,400,LLCR,1690,1690.0,1690.0,13.203603354726013,0.10315688849049233,128237.0,0.009123,0.0857,0.007812783050133736,normalized_with_signal_xsec_txt_and_Runs_genEventSumw_T2tt
mStop1000_mLSP400,1000,400,QCDCR,827,827.0,827.0,6.4611715824606,0.050479731823453944,128237.0,0.009123,0.0857,0.007812783050133736,normalized_with_signal_xsec_txt_and_Runs_genEventSumw_T2tt
mStop1000_mLSP400,1000,400,GCR,0,0.0,0.0,0.0,0.0,128237.0,0.009123,0.0857,0.007812783050133736,normalized_with_signal_xsec_txt_and_Runs_genEventSumw_T2tt
mStop1000_mLSP400,1000,400,DY2E,0,0.0,0.0,0.0,0.0,128237.0,0.009123,0.0857,0.007812783050133736,normalized_with_signal_xsec_txt_and_Runs_genEventSumw_T2tt
mStop1000_mLSP400,1000,400,DY2M,0,0.0,0.0,0.0,0.0,128237.0,0.009123,0.0857,0.007812783050133736,normalized_with_signal_xsec_txt_and_Runs_genEventSumw_T2tt
mStop1000_mLSP400,1000,400,SR,34471,34471.0,34471.0,269.31444452116,2.1040953273111014,128237.0,0.009123,0.0857,0.007812783050133736,normalized_with_signal_xsec_txt_and_Runs_genEventSumw_T2tt
mStop1000_mLSP500,1000,500,preselection,51468,51468.0,51468.0,443.0301427802598,3.81354836814909,116392.0,0.009123,0.0857,0.008607875627190871,normalized_with_signal_xsec_txt_and_Runs_genEventSumw_T2tt
