mStop,xsec_pb,uncertainty_percent,uncertainty_relative,uncertainty_up_relative,uncertainty_down_relative,source_file,parsing_status
365,4.272,4.65,0.04650000000000001,0.04650000000000001,0.04650000000000001,signal_xsec.txt,parsed
370,3.972,4.67,0.0467,0.0467,0.0467,signal_xsec.txt,parsed
375,3.696,4.69,0.046900000000000004,0.046900000000000004,0.046900000000000004,signal_xsec.txt,parsed
380,3.442,4.71,0.0471,0.0471,0.0471,signal_xsec.txt,parsed
385,3.207,4.73,0.0473,0.0473,0.0473,signal_xsec.txt,parsed
390,2.991,4.75,0.0475,0.0475,0.0475,signal_xsec.txt,parsed
395,2.791,4.77,0.04769999999999999,0.04769999999999999,0.04769999999999999,signal_xsec.txt,parsed
400,2.607,4.79,0.0479,0.0479,0.0479,signal_xsec.txt,parsed
405,2.436,4.81,0.0481,0.0481,0.0481,signal_xsec.txt,parsed
410,2.277,4.83,0.0483,0.0483,0.0483,signal_xsec.txt,parsed
415,2.13,4.85,0.048499999999999995,0.048499999999999995,0.048499999999999995,signal_xsec.txt,parsed
420,1.994,4.87,0.0487,0.0487,0.0487,signal_xsec.txt,parsed
425,1.868,4.89,0.0489,0.0489,0.0489,signal_xsec.txt,parsed
430,1.751,4.92,0.0492,0.0492,0.0492,signal_xsec.txt,parsed
435,1.642,4.94,0.049400000000000006,0.049400000000000006,0.049400000000000006,signal_xsec.txt,parsed
440,1.541,4.96,0.0496,0.0496,0.0496,signal_xsec.txt,parsed
445,1.447,4.98,0.049800000000000004,0.049800000000000004,0.049800000000000004,signal_xsec.txt,parsed
